date,TSMC,ASML,AM,SUMCO
2021-12-10,79,171,6,11
2021-12-11,16,28,3,4
2021-12-12,75,7,0,0
2021-12-13,155,92,2,0
2021-12-14,175,121,65,1
2021-12-15,97,78,11,3
2021-12-16,248,126,13,4
2021-12-17,93,134,3,2
2021-12-18,37,24,0,0
2021-12-19,102,22,1,0
2021-12-20,37,28,1,0
2021-12-21,70,60,6,0
2021-12-22,112,72,0,1
2021-12-23,163,153,1,5
2021-12-24,37,179,2,18
2021-12-25,259,39,1,30
2021-12-26,257,33,0,0
2021-12-27,246,148,1,4
2021-12-28,220,193,2,1
2021-12-29,131,93,1,0
2021-12-30,128,34,8,0
2022-01-01,113,100,14,0
2022-01-02,85,34,2,0
2022-01-03,150,255,2,7
2022-01-04,276,328,32,0
2022-01-05,221,253,0,0
2022-01-06,185,131,4,0
2022-01-07,300,184,2,1
2022-01-08,39,99,0,0
2022-01-09,43,65,4,0
2022-01-10,237,161,2,0
2022-01-11,189,130,2,10
2022-01-12,132,140,8,5
2022-01-13,522,107,6,0
2022-01-14,223,25,2,0
2022-01-15,177,53,0,8
2022-01-16,71,4,0,2
2022-01-17,182,117,4,11
2022-01-18,320,93,11,0
2022-01-19,363,1078,11,12
2022-01-20,565,733,25,0
2022-01-21,301,272,19,0
2022-01-22,61,126,13,0
2022-01-23,171,94,0,0
2022-01-24,124,95,0,1
2022-01-25,68,124,4,0
2022-01-26,122,151,2,0
2022-01-27,76,117,3,0
2022-01-28,66,262,3,0
2022-01-29,34,34,1,0
2022-01-30,122,82,2,0
2022-01-31,167,152,2,3
2022-02-01,107,59,1,10
2022-02-02,107,141,4,5
2022-02-03,161,132,1,2
2022-02-04,75,150,2,0
2022-02-05,50,4,1,6
2022-02-06,66,155,0,2
2022-02-07,282,58,0,3
2022-02-08,222,68,6,9
2022-02-09,142,1432,4,13
2022-02-10,249,198,7,16
2022-02-11,210,245,11,36
2022-02-12,45,57,0,6
2022-02-13,56,72,0,2
2022-02-14,72,78,6,4
2022-02-15,269,107,32,1
2022-02-16,165,84,5,2
2022-02-17,116,131,8,3
2022-02-18,61,37,3,8
2022-02-19,38,23,8,0
2022-02-20,18,5,3,0
2022-02-21,265,164,7,0
2022-02-22,131,56,3,0
2022-02-23,180,174,8,2
2022-02-24,189,184,1,0
2022-02-25,135,185,12,0
2022-02-26,21,77,0,0
2022-02-27,77,15,2,0
2022-02-28,93,50,3,1
2022-03-01,84,80,8,0
2022-03-02,104,64,3,0
2022-03-03,247,61,2,8
2022-03-04,152,290,1,5
2022-03-05,269,74,4,0
2022-03-06,140,58,1,0
2022-03-07,85,57,6,9
2022-03-08,70,90,13,0
2022-03-09,99,122,4,0
2022-03-10,198,75,4,0
2022-03-11,126,43,6,0
2022-03-12,21,2,0,0
2022-03-13,26,16,1,1
2022-03-14,157,56,5,1
2022-03-15,151,40,3,2
2022-03-16,192,66,3,2
2022-03-17,71,39,6,10
2022-03-18,187,123,6,3
2022-03-19,97,42,1,0
2022-03-20,77,42,0,1
2022-03-21,156,396,3,4
2022-03-22,162,264,1,0
2022-03-23,281,375,4,0
2022-03-24,145,169,1,3
2022-03-25,118,249,11,5
2022-03-26,35,171,0,0
2022-03-27,42,183,15,0
2022-03-28,204,444,16,0
2022-03-29,75,58,0,0
2022-03-30,180,133,7,0
2022-03-31,180,50,8,0
2022-04-01,145,194,24,0
2022-04-02,87,60,2,0
2022-04-03,53,24,0,2
2022-04-04,259,139,5,0
2022-04-05,157,235,8,0
2022-04-06,341,262,5,0
2022-04-07,312,188,23,1
2022-04-08,332,153,32,12
2022-04-09,78,54,5,0
2022-04-10,305,107,5,5
2022-04-11,391,335,17,22
2022-04-12,551,264,13,3
2022-04-13,257,148,21,1
2022-04-14,490,289,15,0
2022-04-15,468,231,12,1
2022-04-16,133,51,3,6
2022-04-17,279,130,20,5
2022-04-18,674,247,88,0
2022-04-19,558,240,9,26
2022-04-20,478,770,25,0
2022-04-21,442,634,17,0
2022-04-22,681,655,16,0
2022-04-23,208,259,2,0
2022-04-24,389,127,3,0
2022-04-25,282,135,9,0
2022-04-26,264,300,102,14
2022-04-27,324,190,9,0
2022-04-28,443,214,3,3
2022-04-29,298,296,9,1
2022-04-30,197,172,40,0
2022-06-06,722,654,11,0
2022-06-07,899,1040,7,0
2022-06-08,2141,1059,20,3
2022-06-09,1622,989,55,151
2022-06-10,1181,444,44,23
